TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID
1,230325.299,454302.405,0.897,22.8,0.384,6.3,7.1,6.4,31.7,204.9,67
2,230297.446,454339.444,0.836,26.6,0.558,6.8,7.7,6.8,36.0,260.5,18
3,230275.743,454361.814,0.870,23.4,0.599,7.5,7.3,8.7,44.2,362.8,32
4,230288.008,454333.299,0.881,25.1,0.540,8.2,8.1,8.8,53.3,363.7,36
5,230290.840,454347.683,0.829,23.4,0.662,8.6,8.5,9.3,57.8,444.8,22
6,230278.878,454356.560,0.858,10.0,0.220,4.0,4.1,4.3,12.3,49.6,10
7,230337.700,454372.551,0.483,13.5,0.081,8.8,10.5,8.2,60.4,379.3,2
8,230314.295,454332.228,0.847,26.4,0.570,6.8,6.3,7.6,35.8,296.5,45
9,230291.344,454344.630,0.711,8.0,0.526,4.9,5.8,4.9,19.0,44.9,9
10,230329.503,454362.623,0.855,26.6,0.466,7.7,8.1,8.6,46.2,369.8,12
11,230298.048,454336.809,0.845,22.7,0.511,6.5,7.0,6.5,32.9,239.8,70
12,230321.990,454306.384,0.810,27.2,0.617,8.7,9.5,8.9,60.1,491.2,24
13,230320.507,454324.119,0.832,28.5,0.582,8.9,8.0,10.3,61.8,496.1,35
14,230281.160,454364.399,0.850,24.6,0.528,8.1,7.9,8.7,52.0,361.5,71
15,230329.378,454354.536,0.846,24.7,0.581,7.0,6.3,7.8,38.4,384.5,33
16,230308.664,454313.667,0.885,23.5,0.617,8.9,8.9,9.9,62.2,483.8,58
17,230331.913,454323.133,0.890,27.0,0.516,8.2,8.7,8.4,53.2,448.9,21
18,230312.222,454286.916,0.849,25.2,0.621,9.0,8.6,9.8,63.1,473.5,64
19,230330.130,454344.917,1.163,3.1,0.315,4.2,6.1,3.1,14.0,27.1,38
20,230336.273,454345.031,0.861,23.1,0.580,8.9,8.4,8.8,62.0,471.3,27
21,230276.001,454343.438,0.859,25.9,0.476,6.8,6.6,7.3,36.5,243.3,85
22,230310.011,454325.860,0.839,23.9,0.530,6.3,6.6,6.9,31.0,211.1,28
23,230325.646,454344.401,0.966,4.4,1.242,3.9,4.5,4.1,11.8,24.3,50
24,230314.594,454370.134,1.247,4.1,0.275,2.1,2.0,2.5,3.6,9.2,136
25,230299.711,454335.021,0.825,27.1,0.594,7.1,6.7,8.7,39.9,317.9,34
26,230322.088,454357.136,0.806,7.2,0.463,4.8,5.8,5.0,18.3,54.6,82
27,230306.368,454300.128,0.834,29.7,0.595,6.9,6.6,7.6,37.0,281.3,25
28,230287.295,454355.654,0.910,22.9,0.483,7.7,7.1,8.7,46.6,280.8,77
29,230314.516,454318.901,0.810,22.1,0.536,8.7,8.3,9.0,59.2,475.5,41
30,230325.369,454290.710,0.884,26.8,0.484,6.3,5.7,6.7,31.3,253.7,74
31,230283.071,454354.637,0.873,23.7,0.521,7.8,7.3,8.8,48.2,348.5,91
32,230331.362,454329.287,0.920,24.6,0.462,8.2,8.5,8.8,52.4,351.3,46
33,230326.745,454358.987,0.877,26.5,0.503,6.2,6.6,7.0,30.3,247.6,73
34,230286.956,454290.072,0.349,4.8,0.142,11.1,15.4,14.7,96.8,226.4,251
35,230304.163,454298.046,0.845,29.0,0.548,8.3,8.9,8.3,53.9,356.1,75
36,230295.351,454296.758,0.829,23.4,0.404,6.9,6.4,8.3,37.9,276.3,95
37,230333.938,454293.819,0.843,25.7,0.665,9.8,9.4,10.2,74.8,704.4,29
38,230297.609,454371.047,0.734,5.3,0.212,2.2,2.8,2.3,3.8,12.0,107
39,230334.342,454325.345,0.858,27.3,0.573,8.0,8.4,8.9,49.9,410.3,44
40,230308.917,454298.387,0.827,25.5,0.561,7.4,7.1,8.5,42.6,325.2,76
41,230310.184,454367.532,0.813,4.7,0.573,2.3,2.6,2.3,4.3,12.6,179
42,230291.329,454296.851,0.848,25.4,0.559,7.4,6.5,8.6,42.5,317.2,48
43,230280.428,454343.904,0.878,24.1,0.498,7.7,6.8,8.6,46.0,283.2,83
44,230303.313,454357.524,0.827,5.6,0.673,1.7,1.7,2.1,2.3,8.0,252
45,230311.163,454368.409,0.838,4.2,0.521,1.3,1.1,1.6,1.3,2.5,177
46,230311.243,454366.881,1.229,3.8,0.359,1.7,1.6,2.3,2.2,4.6,152
47,230297.578,454294.043,0.817,23.4,0.557,7.2,7.4,8.1,41.0,324.2,65
48,230326.833,454286.502,0.928,25.4,0.433,6.3,5.5,7.8,31.4,238.4,244
